job_id,nganh_nghe
35BB7979,Bán hàng / Kinh doanh
35BB7979,Tư vấn
35BB792D,Bán hàng / Kinh doanh
35BB792D,Tư vấn
35BB792D,Giáo dục / Đào tạo
35BB77E5,Vận chuyển / Giao nhận /  Kho vận
35BB77E5,Xuất nhập khẩu
35BB77E5,Biên phiên dịch
35BB79BC,Ngân hàng
35BB799A,Điện / Điện tử / Điện lạnh
35BB799A,Xây dựng
35BB799A,Bất động sản
35BB7899,Y tế / Chăm sóc sức khỏe
35BB7869,Tiếp thị / Marketing
35BB7869,Truyền hình / Báo chí / Biên tập
35BB7869,Tổ chức sự kiện
35BB7907,Kế toán / Kiểm toán
35BB7907,Tài chính / Đầu tư
35BB78B7,Y tế / Chăm sóc sức khỏe
35BB78FD,Kế toán / Kiểm toán
35BB775B,Du lịch
35BB775B,Tổ chức sự kiện
35BB775B,Xây dựng
35BB77C1,Tiếp thị / Marketing
35BB77C1,Bán hàng / Kinh doanh
35BB77C1,Cơ khí / Ô tô / Tự động hóa
35BB7915,Truyền hình / Báo chí / Biên tập
35BB7915,Quảng cáo / Đối ngoại / Truyền Thông
35BB7915,Tiếp thị / Marketing
35BB7976,Bán lẻ / Bán sỉ
35BB7976,Bán hàng / Kinh doanh
35BB7976,Thực phẩm & Đồ uống
35BB7860,Tiếp thị / Marketing
35BB7860,Truyền hình / Báo chí / Biên tập
35BB7860,Quảng cáo / Đối ngoại / Truyền Thông
35BB7982,Bán lẻ / Bán sỉ
35BB7982,Bán hàng / Kinh doanh
35BB7982,Thực phẩm & Đồ uống
35BB77EB,CNTT - Phần mềm
35BB77EB,CNTT - Phần cứng / Mạng
35BB774E,Kế toán / Kiểm toán
35BB774E,Ngân hàng
35BB774E,Tài chính / Đầu tư
35BB77CD,Unknown
35BB7878,Unknown
35BB7871,Nhân sự
35BB7871,Mới tốt nghiệp / Thực tập
35BB7871,Bán hàng / Kinh doanh
35BB7815,Vận chuyển / Giao nhận /  Kho vận
35BB7815,Thực phẩm & Đồ uống
35BB783A,Bán hàng / Kinh doanh
35BB783A,Du lịch
35BB783A,Dịch vụ khách hàng
35BB7863,Nhân sự
35BB77CB,Chứng khoán
35BB77CB,Kế toán / Kiểm toán
35BB77CB,Tài chính / Đầu tư
35BB77AF,Cơ khí / Ô tô / Tự động hóa
35BB77AF,Quản lý chất lượng (QA/QC)
35BB77AF,Điện / Điện tử / Điện lạnh
35BB7957,Tư vấn
35BB7957,Kế toán / Kiểm toán
35BB7957,CNTT - Phần mềm
35BB776E,Tổ chức sự kiện
35BB790C,Truyền hình / Báo chí / Biên tập
35BB790C,Quảng cáo / Đối ngoại / Truyền Thông
35BB78BD,Hành chính / Thư ký
35BB78BD,Nhân sự
35BB79AE,Bán hàng / Kinh doanh
35BB79AE,Ngân hàng
35BB79AE,Bảo hiểm
35BB7937,Mỹ thuật / Nghệ thuật / Thiết kế
35BB7937,Dệt may / Da giày / Thời trang
35BB7937,Quản lý chất lượng (QA/QC)
35BB78E2,Ngân hàng
