job_id,detailed_welfare
35BB85FB,CLB thể thao
35BB85C2,Laptop
35BB85C2,Chế độ bảo hiểm
35BB85C2,Phụ cấp
35BB85C2,Xe đưa đón
35BB85C2,Chế độ thưởng
35BB85C2,Chăm sóc sức khỏe
35BB85C2,Đào tạo
35BB85C2,Tăng lương
35BB85C2,Nghỉ phép năm
35BB85C5,Laptop
35BB85C5,Chế độ bảo hiểm
35BB85C5,Du Lịch
35BB85C5,Phụ cấp
35BB85C5,Xe đưa đón
35BB85C5,Chế độ thưởng
35BB85C5,Chăm sóc sức khỏe
35BB85C5,Đào tạo
35BB85C5,Tăng lương
35BB85C5,Nghỉ phép năm
35BB85C3,Laptop
35BB85C3,Chế độ bảo hiểm
35BB85C3,Xe đưa đón
35BB85C3,Đồng phục
35BB85C3,Đào tạo
35BB85CC,Chế độ bảo hiểm
35BB85CC,Du Lịch
35BB85CC,Phụ cấp
35BB85CC,Chế độ thưởng
35BB85CC,Chăm sóc sức khỏe
35BB85CC,Đào tạo
35BB85CC,Tăng lương
35BB85CC,Công tác phí
35BB85CC,Nghỉ phép năm
35BB85C8,Laptop
35BB85C8,Chế độ bảo hiểm
35BB85C8,Phụ cấp
35BB85C8,Xe đưa đón
35BB85C8,Chế độ thưởng
35BB85C8,Chăm sóc sức khỏe
35BB85C8,Đào tạo
35BB85C8,Tăng lương
35BB85C8,Nghỉ phép năm
35BB85C8,CLB thể thao
35BB85A7,Chế độ bảo hiểm
35BB85A7,Du Lịch
35BB85A7,Phụ cấp
35BB85A7,Chế độ thưởng
35BB85A7,Chăm sóc sức khỏe
35BB85A7,Đào tạo
35BB85A7,Tăng lương
35BB85A7,Công tác phí
35BB85A7,Nghỉ phép năm
35BB85C9,Chế độ bảo hiểm
35BB85C9,Du Lịch
35BB85C9,Chế độ thưởng
35BB85C9,Chăm sóc sức khỏe
35BB85C9,Đào tạo
35BB85C9,Tăng lương
35BB85C9,Nghỉ phép năm
35BB85C0,Laptop
35BB85C0,Chế độ bảo hiểm
35BB85C0,Du Lịch
35BB85C0,Xe đưa đón
35BB85C0,Chế độ thưởng
35BB85C0,Chăm sóc sức khỏe
35BB85C0,Đào tạo
35BB85C0,Tăng lương
35BB85C0,Nghỉ phép năm
35BB85CA,Laptop
35BB85CA,Chế độ bảo hiểm
35BB85CA,Du Lịch
35BB85CA,Phụ cấp
35BB85CA,Đồng phục
35BB85CA,Chế độ thưởng
35BB85CA,Chăm sóc sức khỏe
35BB85CA,Tăng lương
35BB85CA,Công tác phí
35BB85CA,Phụ cấp thâm niên
35BB85CA,Nghỉ phép năm
35BB85CB,Chế độ bảo hiểm
35BB85CB,Du Lịch
35BB85CB,Phụ cấp
35BB85CB,Đồng phục
35BB85CB,Chế độ thưởng
35BB85CB,Chăm sóc sức khỏe
35BB85CB,Đào tạo
35BB85CB,Công tác phí
35BB85CB,Nghỉ phép năm
35BB8601,Chế độ bảo hiểm
35BB8601,Du Lịch
35BB8601,Chế độ thưởng
35BB8601,Chăm sóc sức khỏe
35BB8601,Đào tạo
35BB8601,Tăng lương
35BB857E,Chế độ bảo hiểm
35BB857E,Du Lịch
35BB857E,Chế độ thưởng
35BB857E,Chăm sóc sức khỏe
35BB857E,Đào tạo
35BB857E,Tăng lương
35BB8581,Chế độ bảo hiểm
35BB8581,Du Lịch
35BB8581,Phụ cấp
35BB8581,Đào tạo
35BB8581,Tăng lương
35BB8581,Nghỉ phép năm
35BB85C6,Chế độ bảo hiểm
35BB85C6,Du Lịch
35BB85C6,Phụ cấp
35BB85C6,Đồng phục
35BB85C6,Chế độ thưởng
35BB85C6,Chăm sóc sức khỏe
35BB85C6,Đào tạo
35BB85C6,Tăng lương
